2018-08-28 01:50:58[org.springframework.test.context.support.DefaultTestContextBootstrapper] [main:0] - [INFO]  Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-08-28 01:50:58[org.springframework.test.context.support.DefaultTestContextBootstrapper] [main:31] - [INFO]  Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@589838eb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@42dafa95, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@6500df86, org.springframework.test.context.support.DirtiesContextTestExecutionListener@402a079c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@59ec2012, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4cf777e8]
2018-08-28 01:50:58[org.springframework.beans.factory.xml.XmlBeanDefinitionReader] [main:187] - [INFO]  Loading XML bean definitions from URL [file:/C:/Users/cch/eclipse-workspace/spring_ibm/target/classes/applicationContext.xml]
2018-08-28 01:50:58[org.springframework.beans.factory.xml.XmlBeanDefinitionReader] [main:507] - [INFO]  Loading XML bean definitions from URL [file:/C:/Users/cch/eclipse-workspace/spring_ibm/target/classes/beans/spring-otherContext.xml]
2018-08-28 01:50:58[org.springframework.context.support.GenericApplicationContext] [main:539] - [INFO]  Refreshing org.springframework.context.support.GenericApplicationContext@61f8bee4: startup date [Tue Aug 28 01:50:58 CST 2018]; root of context hierarchy
2018-08-28 01:50:59[com.mchange.v2.log.MLog] [MLog-Init-Reporter:1344] - [INFO]  MLog clients using slf4j logging.
2018-08-28 01:51:00[com.mchange.v2.c3p0.C3P0Registry] [main:1797] - [INFO]  Initializing c3p0-0.9.5-pre10 [built 06-November-2014 02:02:55 -0800; debug? true; trace: 10]
2018-08-28 01:51:00[org.hibernate.Version] [main:2233] - [INFO]  HHH000412: Hibernate Core {5.0.8.Final}
2018-08-28 01:51:00[org.hibernate.cfg.Environment] [main:2233] - [INFO]  HHH000206: hibernate.properties not found
2018-08-28 01:51:00[org.hibernate.cfg.Environment] [main:2233] - [INFO]  HHH000021: Bytecode provider name : javassist
2018-08-28 01:51:00[org.hibernate.annotations.common.Version] [main:2311] - [INFO]  HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
